sector,code,company
소프트웨어,12510,더존비즈온
포장재,14820,동원시스템즈
에너지장비및서비스 ,5090,SGC에너지
운송인프라,88980,맥쿼리인프라
게임엔터테인먼트,36570,엔씨소프트
전자장비와기기,9150,삼성전기
건강관리장비와용품,137310,에스디바이오센서
방송과엔터테인먼트,352820,하이브
건축제품,14280,금강공업
디스플레이패널,34220,LG디스플레이
가스유틸리티,36460,한국가스공사
조선,329180,현대중공업
건축자재,3410,쌍용C&E
반도체와반도체장비,5930,삼성전자
제약,207940,삼성바이오로직스
전기유틸리티,15760,한국전력
건설,720,현대건설
식품,271560,오리온
우주항공과국방,47810,한국항공우주
상업서비스와공급품,12750,에스원
기계,34020,두산중공업
무선통신서비스,17670,SK텔레콤
"섬유,의류,신발,호화품",383220,F&F
IT서비스,377300,카카오페이
음료,80,하이트진로
"호텔,레스트랑,레저",35250,강원랜드
석유와가스,96770,SK이노베이션
양방향미디어와서비스,35420,NAVER
철강,5490,POSCO
다각화된통신서비스,30200,KT
은행,323410,카카오뱅크
자동차부품,12330,현대모비스
화학,51910,LG화학
가정용기기와용품,21240,코웨이
항공사,3490,대한항공
항공화물운송과물류,86280,현대글로비스
전자제품,66570,LG전자
화장품,51900,LG생활건강
해운사,11200,HMM
